"Dataset","Method","OA","AA","K","mIoU","FWIoU","F1"
"WHDLD","SegNet","80.229","63.787","71.403","52.940","68.876","66.529"
"Tiramisu","82.188","70.712","74.903","58.167","72.243","71.276"
"U-Net","81.830","67.724","74.422","55.706","72.450","68.567"
"U-NetAtt","82.602","69.738","75.484","56.918","73.474","69.622"
"FGC","82.975","68.855","75.927","57.368","73.540","70.274"
"MSFCN","84.168","72.081","77.558","60.366","74.892","73.031"
"GID","SegNet","80.035","82.396","74.612","70.962","67.420","82.290"
"Tiramisu","79.467","84.008","74.377","69.032","65.627","80.716"
"U-Net","78.992","81.115","73.295","69.417","65.936","81.326"
"U-NetAtt","80.919","83.838","75.878","70.930","68.539","82.511"
"FGC","81.180","84.716","76.270","72.067","68.859","83.240"
"MSFCN","83.718","85.544","79.353","75.127","72.688","85.378"
